key,title,author,year,type,volume,issue,pages,journal,journalShort,publisher,doi,url,abstract,keywords,citedBy,quality,area,subArea,approach,AI,AIsub,data,participants,note
marenkov2017,A tool for design-time usability evaluation of web user interfaces,"Marenkov, Jevgeni; Robal, Tarmo; Kalja, Ahto",2017,conferencePaper,10509 LNCS,,394 – 407,Advances in Databases and Information Systems: 21st European Conference,ADBIS,Springer Nature,10.1007/978-3-319-66917-5_26,https://doi.org/10.1007/978-3-319-66917-5_26,"The diversity of smartphones and tablet computers has become intrinsic part of modern life. Following usability guidelines while designing web user interface (UI) is an essential requirement for each web application. Even a minor change in UI could lead to usability problems, e.g. changing background or foreground colour of buttons could cause usability problems especially for people with disabilities. Empirical evaluation methods such as questionnaires and Card Sorting are effective in finding such problems. Nevertheless, these methods cannot be used widely when time, money and evaluators are scarce. The purpose of our work is to deliver a tool for design-time automatic evaluation of UI conformance to category-specific usability guidelines. The main contribution of this solution is enabling immediate cost-efficient and automatic web UI evaluation that conforms to available and set standards. This approach is being integrated into the Estonian eGovernment authority in order to automate usability evaluation of web applications. © 2017, Springer International Publishing AG.",Automatic evaluation; Category specifics; Empirical evaluations; Information systems; People with disabilities; Surveys; Usability engineering; Usability evaluation; Usability guidelines; User interfaces; Web usability; Web user interface; Websites,5,B,UX/usability attributes evaluation,domain usability (ontology),Source code analysis (web/app crawling),none,test execution,Source code,no,"automated GUI testing (selenium), ontology testing - automatic guidalines evaluation; web crawling; static web data (DOM); web crawling; nan; tool for design-time automatic evaluation of UI conformance to category-specific usability guidelines; desktop"
mathur2018,Usability Evaluation Framework for Mobile Apps using Code Analysis,"Mathur, Neeraj; Karre, Sai Anirudh; Reddy, Y. Raghu",2018,conferencePaper,,,187–192,Proceedings of the 22nd International Conference on Evaluation and Assessment in Software Engineering 2018,EASE,ACM,10.1145/3210459.3210480,https://doi.org/10.1145/3210459.3210480,"The increasing usage of smart-phones has resulted in mobile applications replacing or supplementing traditional web-based applications. Given the limitations of the form factor in smartphones, usability can be considered as one of the important attributes that determine the success of a mobile application. The measures available for assessing the usability of mobile applications tend to focus more on human aspects and less on the functional aspects of usability. As part of this paper, we propose a usability evaluation framework to identify functional usability issues specific to mobile applications. This framework uses usability guidelines and code analysis to improve the usability of a mobile application. As a proof of concept, we have built an end-to-end system using the framework to validate and verify usability issues in Android mobile applications. We also generate code recommendations to implement failed usability guidelines.",Mobile Usability; Usability Guidelines; Code Analysis; Usability Evaluation; Automation; Mobile Apps,9,A,UI issue detection,,Source code analysis (web/app crawling),none,test execution,Source code,no,automatic guidalines evaluation (GUI testing); source code analysis; source code; guideline evaluation; nan; usability evaluation framework to identify functional usability issues specific to mobile applications; mobile
miniukovich2015,Computation of Interface Aesthetics,"Miniukovich, Aliaksei; De Angeli, Antonella",2015,conferencePaper,,,1163–1172,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/2702123.2702575,https://doi.org/10.1145/2702123.2702575,"People prefer attractive interfaces. Designers strive to outmatch competitors, and create apps and websites that stand out. However, significant expenses on design are unaffordable to small companies; instead, they could adopt automatic tools of interface aesthetics evaluation, a cheaper strategy to good design. This paper describes an important step towards such a tool; it presents eight automatic metrics of graphical user interface (GUI) aesthetics. We tested the metrics in two exploratory studies -- on desktop webpages (N = 62) and on iPhone apps (N = 53) -- and found them to function on both GUI types and for both immediate (150ms exposure) and deliberate (4s exposure) aesthetics impressions. Our best-fit regression models explained up to 49% of variance in webpage aesthetics and up to 32% (if app genre is considered) of variance in iPhone app aesthetics. These results confirm past results and suggest the metrics are valid and reliable enough to be widely discussed, and possibly, to be embedded in our prospective GUI evaluation tool, tLight.",Automatic metrics; GUI evaluation; user study; immediate impression; deliberate impression; tLight.,100,A,UX/usability attributes evaluation,Visual aesthetics,Screenshot metrics,machine learning,,Screenshots/images,no,aesthetics evaluation; screenshot analysis; UI screenshots; aesthetics evaluation; nan; it presents eight automatic metrics of graphical user interface (GUI) aesthetics.; mobile
moran2018,Automated reporting of GUI design violations for mobile apps,"Moran, Kevin; Li, Boyang; Bernal-Cárdenas, Carlos; Jelf, Dan; Poshyvanyk, Denys",2018,conferencePaper,,,165–175,Proceedings of the 40th International Conference on Software Engineering,ICSE,ACM,10.1145/3180155.3180246,https://doi.org/10.1145/3180155.3180246,"The inception of a mobile app often takes form of a mock-up of the Graphical User Interface (GUI), represented as a static image delineating the proper layout and style of GUI widgets that satisfy requirements. Following this initial mock-up, the design artifacts are then handed off to developers whose goal is to accurately implement these GUIs and the desired functionality in code. Given the sizable abstraction gap between mock-ups and code, developers often introduce mistakes related to the GUI that can negatively impact an app's success in highly competitive marketplaces. Moreover, such mistakes are common in the evolutionary context of rapidly changing apps. This leads to the time-consuming and laborious task of design teams verifying that each screen of an app was implemented according to intended design specifications.This paper introduces a novel, automated approach for verifying whether the GUI of a mobile app was implemented according to its intended design. Our approach resolves GUI-related information from both implemented apps and mock-ups and uses computer vision techniques to identify common errors in the implementations of mobile GUIs. We implemented this approach for Android in a tool called Gvt and carried out both a controlled empirical evaluation with open-source apps as well as an industrial evaluation with designers and developers from Huawei. The results show that Gvt solves an important, difficult, and highly practical problem with remarkable efficiency and accuracy and is both useful and scalable from the point of view of industrial designers and developers. The tool is currently used by over one-thousand industrial designers and developers at Huawei to improve the quality of their mobile apps.",,117,A,UI issue detection,,Source code analysis (web/app crawling),none,metrics + rule-based,Source code,no,GUI design violation detection; source code analysis; soruce code; GUI testing; nan; automated approof of wheter GUI was implemented accorgin to design; mobile
namoun2021,A Review of Automated Website Usability Evaluation Tools: Research Issues and Challenges,"Namoun, Abdallah; Alrehaili, Ahmed; Tufail, Ali",2021,conferencePaper,12779 LNCS,,292 – 311,International Conference on Human-Computer Interaction,HCII,Springer Nature,10.1007/978-3-030-78221-4_20,https://doi.org/10.1007/978-3-030-78221-4_20,"Web usability is a critical factor for visitors' acceptance and satisfaction. The prevalence of various free and proprietary website testing tools enabled the fast evaluation of the usability of websites. However, their effectiveness in providing meaningful, consistent, and valid results remains questionable. In this study, we initially devised a usability framework that incorporates 19 usability dimensions and investigated the compliance of 10 popular web usability testing tools to this framework. Next, we applied the automated evaluation to nine websites spanning three major categories, namely e-commerce, vacation rentals, and education. On a positive note, the tools inspected a wide range of aspects, including performance, SEO, page size, accessibility, and security. However, our in-depth analysis revealed numerous critical issues. First, usability seems to be ignored or distorted by most of the tools. Second, the automated tools exhibited variable and contradictory scores concerning the analysis of the same websites. Third, the analysis reports were vague and complicated for non-technical users. Fourth, the tools identified and explained issues affecting the technical implementation of the websites, overlooking web usability flaws. Fifth, only four tools (i.e., SEOptimiser, Dareboost, Website Grader, and Sure Oak) gave recommendations to remedy performance bottlenecks and improve the quality of the websites. Lastly, the inner working of the tools does not seem to incorporate the theoretical foundations of usability, which calls for urgent collaboration between industry experts and HCI practitioners and researchers. © 2021, Springer Nature Switzerland AG.",Usability engineering; Automation; Usability testing; Usability evaluation; Automated web evaluation tools; Automatic web usability evaluation; Perceived usability; Web usability issues; Website design; Web Design; Evaluation tool; Automated web evaluation tool; Web evaluations; Web usability; Web usability issue,21,B,UX/usability attributes evaluation,"usability metrics (efficiency,...)",Source code analysis (web/app crawling),none,descriptive metrics/visualizations,Source code,no,autoamted usability testing; web crawling; source code (DOM); online testing tool usage; nan; usability framework that incorporates 19 usability dimensions and investigated the compliance of 10 popular web usability testing tools to this framework; not mentioned
parajuli2020,A comparative study of accessibility and usability of norwegian university websites for screen reader users based on user experience and automated assessment,"Parajuli, Prabin; Eika, Evelyn",2020,conferencePaper,12188 LNCS,,300 – 310,International Conference on Human-Computer Interaction,HCII,Springer Nature,10.1007/978-3-030-49282-3_21,https://doi.org/10.1007/978-3-030-49282-3_21,"Websites are essential for learners’ access to information. However, due to the lack of accessibility and usability of websites, students with disabilities who solely rely on screen readers face challenges accessing webpage contents. This study explores accessibility and usability issues frequently encountered by screen reader students while interacting with Norwegian university webpages. An evaluation using automated tools showed that none of the university websites met the minimum WCAG 2.1 guidelines. Sixteen visually impaired participants were recruited and assigned five usability tasks on four different university websites. The results show that participants encountered usability and accessibility issues on all four websites. Recommendations for increased accessibility are proposed based on the findings. © Springer Nature Switzerland AG 2020.",Automated assessment; Automated tools; Comparative studies; Human computer interaction; Norwegian University; Screen readers; Usability engineering; User experience; Visually impaired; Web Design; Websites,9,B,UX/usability attributes evaluation,"usability metrics (efficiency,...)",Source code analysis (web/app crawling),none,descriptive metrics/visualizations,Source code,no,autoamted usability testing; web crawling; source code (DOM); online testing tool usage; nan; study explores accessibility and usability issues frequently encountered by screen reader students while interacting with Norwegian university webpages; not mentioned
paternò2016,Timelines for mobile web usability evaluation,"Paternò, F.; Schiavone, A.G.; Pitardi, P.",2016,conferencePaper,07-10-June-2016,,88 – 91,Proceedings of the Workshop on Advanced Visual Interfaces AVI,AVI,ACM,10.1145/2909132.2909272,https://doi.org/10.1145/2909132.2909272,"In the field of Web usability evaluation, one potential effective approach is the usage of logging tools for remote usability analysis (i.e. tools capable of tracking and recording the users' activities while they interact with a Web site), and then presenting the recorded data to usability experts in such a way to support detection of possible usability problems. In the design of such automated tools, in addition to the problems related to user behavior recording, another important issue is the choice of meaningful visual representations in order to support the usability expert analysis. In this paper we present a timeline-based system for interactive events visualization, which has been exploited in a proxy-based mobile Web usability evaluation tool. We discuss how such visualizations can be exploited in finding usability issues and the type of problems that can be detected through them. We show various ways to compare timelines related to users sessions with ideal timelines representing optimal behavior. © 2016 Copyright held by the owner/author(s).",Behavioral research; Effective approaches; Expert analysis; Mobile web; Remote usability; Remote usability evaluations; Timelines; Usability engineering; Usability problems; Visual representations; Visualization; Well logging,22,B,UX/usability issue detection,user interaction usability problem encounter,User interaction analysis,none,descriptive metrics/visualizations,User interactions,yes,"aid to usability issue tdetection; log data analysis; user interactions; none; nan; timeline-based system for interactive events visualization, which has been exploited in a proxy-based mobile Web usability evaluation tool; mobile"
paternò2017,Customizable automatic detection of bad usability smells in mobile accessed web applications,"Paternò, Fabio; Schiavone, Antonio Giovanni; Conti, Antonio",2017,conferencePaper,,,,Proceedings of the 19th international conference on human-computer interaction with mobile devices and services,MOBILEHCI,ACM,10.1145/3098279.3098558,https://doi.org/10.1145/3098279.3098558,"Remote usability evaluation enables the possibility of analysing users' behaviour in their daily settings. We present a method and an associated tool able to identify potential usability issues through the analysis of client-side logs of mobile Web interactions. Such log analysis is based on the identification of specific usability smells. We describe an example set of bad usability smells, and how they are detected. The tool also allows evaluators to add new usability smells not included in the original set. We also report on the tool use in analysing the usability of a real, widely used application accessed by forty people through their smartphones whenever and wherever they wanted.",Usability engineering; Human computer interaction; Mobile devices; WEB application; Automatic Detection; Odors; remote usability evaluation; Remote usability evaluations; Remote Usability Evaluation; Bad smells; Log analysis; Associated tool; usability bad smells; web mobile application log analysis; Usability Bad Smells; Web Mobile application log analysis; Client sides; Customizable,52,B,UX/usability issue detection,user interaction usability problem encounter,User interaction analysis,none,behavior patterns,User interactions,yes,usasbilty issue identification; log data analysis; user interactions; usability test; nan; associated tool able to identify potential usability issues through the analysis of client-side logs of mobile Web interactions; mobile
paul2020,Accessibility and usability analysis of Indian e-government websites,"Paul, Surjit; Das, Saini",2020,journalArticle,19,4,949 – 957,Universal Access in the Information Society,,Springer Nature,10.1007/s10209-019-00704-8,https://doi.org/10.1007/s10209-019-00704-8,"E-government provides a platform to deliver government services to stakeholders, and many countries have adopted e-government websites for good governance. Successful e-government implementation and service delivery depend on how the underlying information present in government websites is made accessible and usable to every individual. This article investigates the accessibility and usability of e-government sites in India. Our sample consists of 65 Indian e-government websites. The analysis was carried out using automatic evaluation tools. The results of the accessibility tests highlight the existence of accessibility issues based on Web Content Accessibility Guidelines 1.0 (WCAG 1.0) and WCAG 2.0. Usability tests also reveal that e-government websites give low priority to such aspects during website design and development. Hence, there is a need to improve the overall accessibility and usability of Indian e-government websites in order to improve the quality and in turn the E-Government Development Index rank of India. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Automatic evaluation tool; Design and Development; e-government; E-government implementation; Government services; Government websites; Service delivery; Usability analysis; Usability engineering; Web content accessibility guidelines; Web Design; Websites,51,Q2,UX/usability attributes evaluation,"usability metrics (efficiency,...)",Source code analysis (web/app crawling),none,descriptive metrics/visualizations,Source code,no,autoamted usability testing; web crawling; source code (DOM); online testing tool usage; nan; accessibility and usability of e-government sites in India; not mentioned
peng2022,MUBot: Learning to Test Large-Scale Commercial Android Apps like a Human,"Peng, Chao; Zhang, Zhao; Lv, Zhengwei; Yang, Ping",2022,conferencePaper,,,543-552,2022 IEEE International Conference on Software Maintenance and Evolution (ICSME),ICSME,IEEE,10.1109/ICSME55016.2022.00074,https://doi.org/10.1109/ICSME55016.2022.00074,"Automated GUI testing has been playing a key role to uncover crashes to ensure the stability and robustness of Android apps. Recent research has proposed random, search-based and model-based testing techniques for GUI event generation. In industrial practices, different companies have developed various GUI exploration tools such as Facebook Sapienz, WeChat WeTest and ByteDance Fastbot to test their products. However, these tools are bound to their predefined GUI exploration strategies and lack of the ability to generate human-like actions to test meaningful scenarios. To address these challenges, Humanoid is the first Android testing tool that utilises deep learning to imitate human behaviours and achieves promising results over current model-based methods. However, we find some challenges when applying Humanoid to test our sophisticated commercial apps such as infinite loops and low test coverage. To this end, we performed the first case study on the performance of deep learning techniques using commercial apps to understand the underlying reason of the current weakness of this promising method. Based on our findings, we propose MUBot (Multi-modal User Bot) for human-like Android testing. Our empirical evaluation reveals that MUBot has better performance over Humanoid and Fastbot, our in-house testing tool on coverage achieved and bug-fixing rate on commercial apps.",android testing; graphical user interface; deep learning,12,A,UI issue detection,,"Source code analysis (web/app crawling), Computer vision",deep learning,,"Source code, Screenshots/images",no,"GUI testing; GUI tree (source code) analysis; GUI tree (source code), UI screenshots (greyscale maps); model training; GUI info from screenshots (greyscale maps); ndroid testing tool that utilises deep learning to imitate human behaviours and achieves promising results over current model-based methods.; mobile"
poivet2023,The influence of conversational agents’ role and communication style on user experience,"Poivet, Remi; Lopez Malet, Mélanie; Pelachaud, Catherine; Auvray, Malika",2023,journalArticle,14,,,Frontiers in Psychology,,Frontiers Media SA,10.3389/fpsyg.2023.1266186,https://doi.org/10.3389/fpsyg.2023.1266186,"Conversational Agents (CAs) are characterized by their roles within a narrative and the communication style they adopt during conversations. Within computer games, users’ evaluation of the narrative is influenced by their estimation of CAs’ intelligence and believability. However, the impact of CAs’ roles and communication styles on users’ experience remains unclear. This research investigates such influence of CAs’ roles and communication styles through a crime-solving textual game. Four different CAs were developed and each of them was assigned to a role of either witness or suspect and to a communication style than can be either aggressive or cooperative. Communication styles were simulated through a Wizard of Oz method. Users’ task was to interact, through real-time written exchanges, with the four CAs and then to identify the culprit, assess the certainty of their judgments, and rank the CAs based on their conversational preferences. In addition, users’ experience was evaluated using perceptual measures (perceived intelligence and believability scales) and behavioral measures (including analysis of users’ input length, input delay, and conversation length). The results revealed that users’ evaluation of CAs’ intelligence and believability was primarily influenced by CAs’ roles. On the other hand, users’ conversational behaviors were mainly influenced by CAs’ communication styles. CAs’ communication styles also significantly determined users’ choice of the culprit and conversational preferences. Copyright © 2023 Poivet, Lopez Malet, Pelachaud and Auvray.",believability; conversational agents; human behaviors; human-machine interaction; verbal interactions,3,Q2,UX/usability attributes evaluation,"usability metrics (efficiency,...)","User interaction analysis, Conversational assistant",none,descriptive metrics/visualizations,User interactions,yes,game UX evaluation; user interaction analysis; user interactions; game test; nan; impact of CAs’ roles and communication styles on users’ experience; desktop
ponce2018,Deep learning for automatic usability evaluations based on images: A case study of the usability heuristics of thermostats,"Ponce, Pedro; Balderas, David; Peffer, Therese; Molina, Arturo",2018,journalArticle,163,,111-120,Energy and Buildings,,Elsevier,10.1016/j.enbuild.2017.12.043,https://doi.org/10.1016/j.enbuild.2017.12.043,"Thermostats are designed for increasing requirements on indoor thermal comfort. Nevertheless, they are critical devices for saving energy in buildings and households. However, when thermostats do not accomplish the usability requirements, the end-users do not save energy. Then, when a thermostat is designed or validated, one of the leading problems that must be tackled is the usability evaluation. Generally, the evaluation is based on usability heuristics that are done by experts and designers and involve a very complicated cycling process in which usability experts need to be included in the complete usability evaluation. On the other hand, there are several proposals for generating an automatic usability analysis that can be used by designers or end-users. However, they are limited by the methodologies that are implemented in the evaluation because usability evaluations necessitate a large amount of data abstraction, and the amount of processed information is enormous; As an alternative, Artificial Intelligence can help to solve this problem, especially machine learning techniques with deep learning capabilities that can reach a high level of data abstraction with a significant amount of information and implement an automatic usability evaluation based on images. Convolutional networks that are included in deep learning can classify complex problems, attain highly accurate results. This paper proposes to train a convolutional network with standard usability heuristics for evaluating usability, which is an easy method for evaluating usability in thermostats, based on images. The proposed automatic method gives excellent results for evaluating usability heuristics in the heuristic assigned. This paper provides a complete methodology, using deep learning, for automatically evaluating the usability heuristics of thermostats. (C) 2017 Elsevier B.V. All rights reserved.",Deep learning; Usability engineering; Automatic usability evaluation; Images; Thermostats; Artificial intelligence; Learning systems; Convolution; Usability evaluation; Machine learning techniques; Heuristic methods; Usability requirements; Indoor thermal comfort; Abstracting; Amount of information; Convolutional networks; Learning capabilities; Problem solving,25,Q1,UX/usability attributes evaluation,"usability metrics (efficiency,...)",Computer vision,deep learning,,Screenshots/images,no,"usability heuristics application; computer vision; images (thermostat screenshots); model training; detectnig elements from screenshots (images); train a convolutional network with standard usability heuristics for evaluating usability, which is an easy method for evaluating usability in thermostats, based on imag; thermostats"
poore2017,Operationalizing Engagement with Multimedia as User Coherence with Context,"Poore, Joshua C.; Webb, Andrea K.; Cunha, Meredith G.; Mariano, Laura J.; Chappell, David T.; Coskren, Mikaela R.; Schwartz, Jana L.",2017,journalArticle,8,1,95-107,IEEE Transactions on Affective Computing,,IEEE,10.1109/TAFFC.2015.2512867,https://doi.org/10.1109/TAFFC.2015.2512867,"Traditional approaches for assessing user engagement within multimedia environments rely on methods that are removed from the human computer interaction itself, such as surveys, interviews and baselined physiology. We propose a context coherence approach that operationalizes engagement as the amount of independent user variation that covaries in time with multimedia contextual events during unscripted interactions. This can address questions about the features of multimedia users are most engaged and how engaged users are without the need for prescribed interactions or baselining. We assessed the validity of this approach in a psychophysiological study. Forty participants played interactive video games. Intake and post-stimulus questionnaires collected subjective engagement reports that provided convergent and divergent validity criteria to evaluate our approach. Estimates of coherence between physiological variation and in-game contextual events predicted subjective engagement and added information beyond physiological metrics computed from baselines taken outside of the multimedia context. Our coherence metric accounted for task-dependent engagement, independent of predispositions; this was not true of a baselined physiological approach that was used for comparison. Our findings show compelling evidence that a context-sensitive approach to measuring engagement overcomes shortcomings of traditional methods by making best use of contextual information sampled from multimedia in time-series analyses.",Coherence; Context; electromyography; Engagement; eye-tracking; Games; human computer interaction; Human computer interaction; immersion; Measurement; Multimedia communication; physiology; Physiology; user experience,4,Q1,UX/usability attributes evaluation,user engagement,"User interaction analysis, Physiological signal analysis, Eyetracking",machine learning,,"User interactions, gaze data, physiological signals",yes,"automated user engagement detection; analysis of interactions, physiological data analysis; Physiological Data (ECG,...), user interactions, eye-tracking data; game test; nan; We propose a context coherence approach that operationalizes engagement as the amount of independent user variation that covaries in time with multimedia contextual events during unscripted interactions. This can address questions about the features of multimedia users are most engaged and how engaged users are without the need for prescribed interactions or baselining.; desktop"
prezenski2017,Predictive Cognitive Modelling of Applications,"Prezenski, Sabine; Bruechner, Dominik; Russwinkel, Nele",2017,conferencePaper,3,,165-171,International Conference on Human Computer Interaction Theory and Applications,HUCAPP,SCITEPRESS,10.5220/0006273301650171,https://doi.org/10.5220/0006273301650171,"This paper argues that important usability aspects of mobile applications can be automatically evaluated using computational cognitive models based on the cognitive architecture ACT-R. A tool incorporating cognitive models for specific tasks, users, applications and usability aspects is proposed. Explanations provided by the tool for usability flaws are based on simulations of cognitive mechanisms. A use-case of the tool is introduced, which is based on an ACT-R model that simulates how users search and select a specific target in a hierarchical android application and predicts efficiency and learnability for average users. The model has been empirically validated in four studies with two different applications. To fully automate the usability evaluation of the use-case, two basic requirements need to be fulfilled. First, the application and the cognitive model have to be connected. A tool called ACT-Droid acts as an interface between the Android application and the cognitive model. Second, the models knowledge of the world, which is application specific, has to be provided automatically by using an automated user interface analysation approach. Therefore, the open-source tool AppCrawler was extended to allow the extraction of the required information.",Usability; User interfaces; Usability engineering; Tools; Computer vision; Computer graphics; Tool; Android (operating system); Usability tests; Computation theory; ACT-R; Cognitive modelling; Usability Criteria; Usability Test; Cognitive Modelling,5,B,UX/usability attributes evaluation,"usability metrics (efficiency,...)",Source code analysis (web/app crawling),none,metrics + rule-based,Source code,no,automated usability evaluation; app element crawling; UI elements info; none; nan; model that simulates how users search and select a specific target in a hierarchical android application and predicts efficiency and learnability for average user; mobile
quade2014,Predicting task execution times by deriving enhanced cognitive models from user interface development models,"Quade, Michael; Halbrügge, Marc; Engelbrecht, Klaus-Peter; Albayrak, Sahin; Möller, Sebastian",2014,conferencePaper,,,139 – 148,Proceedings of the 2014 acm sigchi symposium on engineering interactive computing systems,EICS,ACM,10.1145/2607023.2607033,https://doi.org/10.1145/2607023.2607033,"Adaptive user interfaces (UI) offer the opportunity to adapt to changes in the context, but this also poses the challenge of evaluating the usability of many different versions of the resulting UI. Consequently, usability evaluations tend to become very complex and time-consuming. We describe an approach that combines model-based usability evaluation with development models of adaptive UIs. In particular, we present how a cognitive user behavior model can be created automatically from UI development models and thus save time and costs when predicting task execution times. With the help of two usability studies, we show that the resulting predictions can be further improved by using information encoded in the UI development models. Copyright © 2014 ACM 978-1-4503-2725-1/14/06.",Adaptive user interface; Automated usability evaluation; Behavioral research; Computer simulation; Computer systems; Human computer interaction; Model based development; Model-based usability evaluation; Simulation; Usability engineering; Usability evaluation; User behavior modeling; User interface development; User interfaces,12,B,UX/usability attributes evaluation,user effort/time,"Source code analysis (web/app crawling), User interaction analysis",deep learning,,"Source code, User interactions",yes,"task execution prediction; UI element analysis, interaction analysis; UI model, user interactions; usability test; nan; approach that combines model-based usability evaluation with development models of adaptive UIs. In particular, we present how a cognitive user behavior model can be created automatically from UI development models and thus save time and costs when predicting task execution times; desktop"
razzaq2023,A Hybrid Multimodal Emotion Recognition Framework for UX Evaluation Using Generalized Mixture Functions,"Razzaq, Muhammad Asif; Hussain, Jamil; Bang, Jaehun; Hua, Cam-Hao; Satti, Fahad Ahmed; Rehman, Ubaid Ur; Bilal, Hafiz Syed Muhammad; Kim, Seong Tae; Lee, Sungyoung",2023,journalArticle,23,9,,Sensors,,MDPI,10.3390/s23094373,https://doi.org/10.3390/s23094373,"Multimodal emotion recognition has gained much traction in the field of affective computing, human-computer interaction (HCI), artificial intelligence (AI), and user experience (UX). There is growing demand to automate analysis of user emotion towards HCI, AI, and UX evaluation applications for providing affective services. Emotions are increasingly being used, obtained through the videos, audio, text or physiological signals. This has led to process emotions from multiple modalities, usually combined through ensemble-based systems with static weights. Due to numerous limitations like missing modality data, inter-class variations, and intra-class similarities, an effective weighting scheme is thus required to improve the aforementioned discrimination between modalities. This article takes into account the importance of difference between multiple modalities and assigns dynamic weights to them by adapting a more efficient combination process with the application of generalized mixture (GM) functions. Therefore, we present a hybrid multimodal emotion recognition (H-MMER) framework using multi-view learning approach for unimodal emotion recognition and introducing multimodal feature fusion level, and decision level fusion using GM functions. In an experimental study, we evaluated the ability of our proposed framework to model a set of four different emotional states (Happiness, Neutral, Sadness, and Anger) and found that most of them can be modeled well with significantly high accuracy using GM functions. The experiment shows that the proposed framework can model emotional states with an average accuracy of 98.19% and indicates significant gain in terms of performance in contrast to traditional approaches. The overall evaluation results indicate that we can identify emotional states with high accuracy and increase the robustness of an emotion classification system required for UX measurement.",user experience; User interfaces; electroencephalography; Electroencephalography; Artificial Intelligence; Human computer interaction; Psychology; artificial intelligence; Speech recognition; procedures; Emotions; Learning; Algorithms; learning; algorithm; Emotion Recognition; human; Humans; Function evaluation; Users' experiences; emotion; physiology; recognition; Recognition; Emotion recognition; Audio-based; Audio-based emotion recognition; Decision fusioning; Feature fusioning; Generalized mixture function; Generalized mixtures; Multimodal emotion recognition; emotion recognition; audio-based emotion recognition; decision fusioning; feature fusioning; generalized mixture function,6,Q2,Emotion detection,,"Text analysis, Computer vision, Audio analysis, User interaction analysis",deep learning,,"Audio/speech, Video/facial expressions, User movements",yes,"emotion recognition; sentiment classification, computer vision; facial images, speech, body movements; video/speech/body data analysis; emotion detection from video and audio and body movemetns; hybrid multimodal emotion recognition (H-MMER) framework using multi-view learning approach for unimodal emotion recognition and introducing multimodal feature fusion level, and decision level fusion using GM functions; not mentioned"
rehse2024,User behavior mining: A research agenda,"Rehse, Jana-Rebecca; Abb, Luka; Berg, Gregor; Bormann, Carsten; Kampik, Timotheus; Warmuth, Christian",2024,journalArticle,,,,Business and Information Systems Engineering,,Springer Nature,10.1007/s12599-023-00848-1,https://doi.org/10.1007/s12599-023-00848-1,"Studying the behavior of users in software systems has become an essential task for software vendors who want to mitigate usability problems and identify automation potentials, or for researchers who want to test behavioral theories. One approach to studying user behavior in a data-driven way is through the analysis of so-called user interaction (UI) logs, which record the low-level activities that a user performs while executing a task. In the paper, the authors refer to the analysis of UI logs as User Behavior Mining (UBM) and position it as a research topic. UBM is conceptualized by means of a four-component framework that elaborates how UBM data can be captured, which technologies can be applied to analyze it, which objectives UBM can accomplish, and how theories can guide the analytical process. The applicability of the framework is demonstrated by three exemplary applications from an ongoing research project with a partner company. Finally, the paper discusses practical challenges to UBM and derives an agenda for potential future research directions.",Process mining; Robotic process automation; UI logs; User behavior mining,1,Q1,UX/usability issue detection,user interaction usability problem encounter,User interaction analysis,none,behavior patterns,User interactions,yes,"behavior mining; real usage user interaction analysis; user interactions (UI logs); none; nan; component framework that elaborates how UBM data can be captured, which technologies can be applied to analyze it, which objectives UBM can accomplish, and how theories can guide the analytical process; not mentioned"
ribeiro2019,Usability problems discovery based on the automatic detection of usability smells,"Ribeiro, Rafael Fontinele; de Meneses Campanhã Souza, Matheus; de Oliveira, Pedro Almir Martins; de Alcântara dos Santos Neto, Pedro",2019,conferencePaper,,,2328–2335,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,SAC,ACM,10.1145/3297280.3299747,https://doi.org/10.1145/3297280.3299747,"Web applications usage has gone through a big and fast growth in the past few years, becoming part of our daily lives. Large companies use these applications to provide their services. So, it is necessary to ensure the development of high-quality applications. One of the main attributes of a Web application that directly determines its success or failure is their usability, and several methods were developed to evaluate it. The most popular method of usability evaluation is the laboratory testing because it can directly evaluate users' reactions while interacting with the final application. However, performing this test entails high cost and complexity. So, aiming to simplify the execution of this evaluation and to ease the discovery of usability problems, this work proposes an approach to detect indicators of problems (usability smells), based on the capture of the user interaction in the production environment and automatic analysis of this interaction. A study carried out with the approach showed that smells indicated by it were able to aid the detection and correction of usability problems in a real application.",Usability; usability; Usability engineering; usability evaluation; refactoring; Usability evaluation; Laboratory testing; Usability problems; Automatic Detection; Refactorings; Odors; usability smells; Production environments; Usability smells; web; Web,6,B,UX/usability issue detection,user interaction usability problem encounter,User interaction analysis,none,metrics + rule-based,User interactions,yes,"automated usability testing; real usage logs analysis; user interactions; usabiolity test; nan; an approach to detect indicators of problems (usability smells), based on the capture of the user interaction in the production environment and automatic analysis of this interactio; not mentioned"
